Fecha,PREC_21205770_BASE_AEREA_MADRID_MADRID,TMin_21205880_FLORES_CHIBCHA_MADRID,TMin_21206060_CASABLANCA_MADRID,PREC_21205420_TIBAITATA_MOSQUERA,TMax_21205420_TIBAITATA_MOSQUERA,TMin_21205420_TIBAITATA_MOSQUERA,PREC_21205960_TACHI_SUBACHOQUE,TMin_21205960_TACHI_SUBACHOQUE,PREC_21201210_EL_HATO_TENJO,TMax_21205980_GRANJA_PROVIDENCIA_TENJO,TMin_21205980_GRANJA_PROVIDENCIA_TENJO,PREC_21206280_ACAPULCO_BOJACA,TMin_21205870_EL_SALITRE_BOJACA,PREC_21201070_EL_CORAZON_FACATATIVA,TMin_21205940_VILLA_INES_FACATATIVA
1995-12-24,0.0,3.4,4.0,0.15000000000000002,18.5,4.0,0.0,6.8,0.0,19.4,4.4,0.0,2.4,0.0,2.8
1995-12-25,0.0,7.6,4.0,0.1,19.5,7.6,0.0,7.4,0.0,20.2,8.5,0.0,6.4,0.0,2.8
1995-12-26,0.0,1.8,5.0,0.0,20.0,3.1,0.0,2.4,0.0,19.8,2.0,0.0,2.8,0.0,1.0
1995-12-27,0.0,0.6,6.0,0.0,20.6,1.0,0.0,2.6,0.0,21.8,0.8,0.0,1.2,0.0,1.0
1995-12-28,0.0,0.4,4.0,0.0,20.7,1.3,0.0,0.6,0.0,21.0,0.2,0.0,1.0,0.0,1.0
1995-12-29,0.0,1.4,6.0,0.0,19.5,2.4,0.0,2.2,0.0,19.9,0.8,0.0,4.0,0.0,3.4
1995-12-30,0.0,1.8,4.0,0.0,20.0,3.4,0.0,1.8,0.0,20.8,2.3,0.0,5.2,0.0,2.4
1995-12-31,0.0,1.2,5.0,0.0,20.5,0.0,0.0,0.2,0.0,21.3,1.7470462452389413,0.0,1.8,0.0,0.4
1996-01-01,0.0,1.6,4.0,0.0,19.3,-0.8,0.0,0.8,0.0,20.4,1.3,0.0,0.0,0.0,1.2
1996-01-02,0.0,1.4,4.0,0.0,19.1,0.1,0.0,1.2,0.0,20.6,5.6,0.0,0.1,0.0,0.2
1996-01-03,0.0,4.8,4.0,0.0,19.8,6.6,0.0,2.8,0.0,20.8,1.3,0.0,2.8,0.0,7.4
1996-01-04,0.0,6.8,5.0,0.0,18.5,6.5,0.0,3.4,0.0,18.2,4.7,0.0,7.0,0.0,5.0
1996-01-05,0.0,1.6,2.0,0.0,22.2,5.0,0.0,3.8,0.0,22.0,2.6,0.0,2.0,0.0,12.0
1996-01-06,0.0,1.2,2.5,0.0,20.8,0.3,0.0,3.1253112512265115,0.0,20.6,2.0,0.0,0.4,0.0,9.0
1996-01-07,0.0,0.2,3.0,0.0,19.4,2.6,0.0,0.2,0.0,19.524452625684045,3.948536131682741,0.0,0.0,0.0,0.8
1996-01-08,0.0,1.8,3.5,0.0,20.8,-0.9,0.0,2.8517117131638168,0.0,21.8,1.6,0.0,0.8,0.0,0.2
1996-01-09,0.0,3.6,4.0,0.0,18.9,2.0,0.0,2.4,0.0,19.5,0.4,0.0,2.8,0.0,5.0
1996-01-10,0.0,1.2,6.0,0.0,20.3,0.6,0.0,1.6,0.0,21.0,0.2,0.0,1.6,0.0,4.8
1996-01-11,0.0,0.8,5.0,0.0,20.1,0.6,0.0,1.8,0.0,21.4,2.255082372879818,0.0,1.0,0.0,1.2
1996-01-12,0.0,0.6,4.0,0.0,20.6,0.2,0.0,2.2,0.0,21.0,1.6,0.0,0.4,0.0,0.0
1996-01-13,0.0,7.8,3.0,0.0,19.5,6.2,0.0,6.0,0.0,19.9,6.4,0.0,6.8,0.0,4.2
1996-01-14,0.0,5.2,4.0,0.0,19.1,7.5,0.0,4.2,0.0,18.6,8.097497840749902,0.0,6.4,0.0,6.6
1996-01-15,0.0,8.6,6.0,0.0,19.1,9.6,0.0,9.6,0.0,19.3,9.3,0.0,8.0,0.0,8.6
1996-01-16,0.0,6.2,4.0,0.0,19.3,6.4,0.0,5.8,0.0,18.8,5.4,0.0,6.0,0.0,6.4
