Fecha,TMIN_Real,TMIN_Predicha,Error,Error_Abs,Helada_Real,Helada_Predicha
2020-10-31,10.6,7.475046171497948,3.1249538285020515,3.1249538285020515,0,0
2020-11-01,9.2,8.611536336718487,0.5884636632815123,0.5884636632815123,0,0
2020-11-02,7.2,8.110580067959129,-0.9105800679591285,0.9105800679591285,0,0
2020-11-03,8.8,7.188446548281753,1.6115534517182475,1.6115534517182475,0,0
2020-11-04,9.6,8.230839695476584,1.3691603045234153,1.3691603045234153,0,0
2020-11-05,4.4,8.398071982594486,-3.9980719825944853,3.9980719825944853,0,0
2020-11-06,6.2,5.749356974172967,0.4506430258270333,0.4506430258270333,0,0
2020-11-07,7.6,6.6315214002040515,0.9684785997959482,0.9684785997959482,0,0
2020-11-08,7.8,7.234432946943841,0.5655670530561592,0.5655670530561592,0,0
2020-11-09,10.0,7.320897355554571,2.679102644445429,2.679102644445429,0,0
2020-11-10,10.2,8.30812452114114,1.891875478858859,1.891875478858859,0,0
2020-11-11,10.4,8.485202074606566,1.9147979253934349,1.9147979253934349,0,0
2020-11-12,10.6,8.755066066067124,1.8449339339328752,1.8449339339328752,0,0
2020-11-13,9.8,8.91752208338043,0.8824779166195711,0.8824779166195711,0,0
2020-11-14,11.0,8.60138437888455,2.39861562111545,2.39861562111545,0,0
2020-11-15,11.2,9.19452957248275,2.005470427517249,2.005470427517249,0,0
2020-11-16,10.8,9.230705285977624,1.5692947140223765,1.5692947140223765,0,0
2020-11-17,11.4,9.141006854258238,2.258993145741762,2.258993145741762,0,0
2020-11-18,8.6,9.469156614774024,-0.869156614774024,0.869156614774024,0,0
2020-11-19,7.8,7.993873887892331,-0.19387388789233118,0.19387388789233118,0,0
2020-11-20,4.4,7.713283580228411,-3.3132835802284104,3.3132835802284104,0,0
2020-11-21,5.0,5.882128446364649,-0.882128446364649,0.882128446364649,0,0
2020-11-22,5.0,6.189553003255248,-1.1895530032552477,1.1895530032552477,0,0
2020-11-23,5.4,5.9133007951552425,-0.5133007951552422,0.5133007951552422,0,0
2020-11-24,7.4,5.90467764693143,1.4953223530685706,1.4953223530685706,0,0
2020-11-25,7.4,6.844960770459188,0.555039229540812,0.555039229540812,0,0
2020-11-26,8.2,6.850795759797079,1.34920424020292,1.34920424020292,0,0
